dart0, 439.0000,  22.0000,   166.0000,   160.0000
dart1, 212.0000,  143.0000,   169.0000,   166.0000
dart2, 96.0000,  92.0000,   107.0000,   93.0000
dart3, 324.0000,  145.0000,   65.0000,  65.0000
dart4, 198.0000,  106.0000,   160.0000,   160.0000
dart5, 438.0000,  148.0000,   107.0000,   100.0000
dart6, 213.0000,   123.0000,   59.0000,   54.0000
dart7, 258.0000,   174.0000,   140.0000,   147.0000
dart8, 55.0000,   250.0000,    85.0000,   85.0000
dart8, 850.0000,   230.0000,   107.0000,    108.0000
dart9, 211.0000,   62.0000,    218.0000,    210.0000
dart10, 60.0000,   70.0000,    163.0000,    152.0000
dart10, 548.0000,   100.0000,   109.0000,    110.0000
dart10, 894.0000,   130.0000,    64.0000,    88.0000
dart11, 177.0000,   111.0000,    58.0000,    65.0000
dart11, 432.0000,   128.0000,   38.0000,    48.0000
dart12, 151.0000,   80.0000,    79.0000,    130.0000
dart13, 284.0000,   133.0000,   127.0000,    122.0000
dart14, 120.0000,   108.0000,    134.0000,    114.0000
dart14, 981.0000,   91.0000,    133.0000,    133.0000
dart15, 155.0000,   62.0000,    126.0000,    128.0000
